Framework,Pool Mode,Users,RPS,P95 Latency (ms),P99 Latency (ms),Failures/s,DB CPU (%),DB Mem (%),App CPU (%),App Mem (%)
django,direct,500,57.44993764963734,11000,11000,0.0,49.2,31.6,38.8,25.9
django,direct,1000,64.24572457311325,17000,18000,0.0,49.7,31.4,39.4,25.5
django,pooled,500,398.5397480870814,1800,1900,0.0,13.8,24.3,100.5,25.2
django,pooled,1000,394.6025075986849,3200,3300,0.0,13.2,24.4,101.0,26.7
fastapi,direct,500,842.635560056239,980,1400,0.0,31.0,44.6,98.4,49.9
fastapi,direct,1000,610.9274977669565,2400,3700,0.0,27.8,45.0,97.2,49.2
fastapi,pooled,500,719.9037034227214,1100,1400,0.0,25.7,29.5,94.7,46.2
fastapi,pooled,1000,804.7663859991001,1900,2300,0.0,25.2,29.6,95.1,49.2
flask,direct,500,647.4664412653851,1200,1500,0.0,28.3,32.1,101.5,32.4
flask,direct,1000,586.7222491769614,2100,2300,0.0,25.8,32.1,101.2,32.3
flask,pooled,500,744.9195613378979,1000,1100,0.0,28.8,29.9,101.3,30.7
flask,pooled,1000,730.1164542099689,1700,2200,0.0,26.8,29.9,101.2,31.6
